Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,061078,1970,12,17.0,Y
IDCJAC0004,061078,1971,01,17.8,Y
IDCJAC0004,061078,1971,02,18.7,Y
IDCJAC0004,061078,1971,03,15.6,Y
IDCJAC0004,061078,1971,04,11.9,Y
IDCJAC0004,061078,1971,05,7.9,Y
IDCJAC0004,061078,1971,06,6.5,Y
IDCJAC0004,061078,1971,07,4.5,Y
IDCJAC0004,061078,1971,08,5.7,Y
IDCJAC0004,061078,1971,09,7.6,Y
IDCJAC0004,061078,1971,10,10.9,Y
IDCJAC0004,061078,1971,11,11.9,Y
IDCJAC0004,061078,1971,12,16.2,Y
IDCJAC0004,061078,1972,01,16.2,Y
IDCJAC0004,061078,1972,02,16.5,Y
IDCJAC0004,061078,1972,03,15.0,Y
IDCJAC0004,061078,1972,04,11.8,Y
IDCJAC0004,061078,1972,05,10.3,Y
IDCJAC0004,061078,1972,06,7.4,Y
IDCJAC0004,061078,1972,07,4.8,Y
IDCJAC0004,061078,1972,08,6.8,Y
IDCJAC0004,061078,1972,09,8.2,Y
IDCJAC0004,061078,1972,10,12.4,Y
IDCJAC0004,061078,1972,11,14.7,Y
IDCJAC0004,061078,1972,12,16.5,Y
IDCJAC0004,061078,1973,01,18.0,Y
IDCJAC0004,061078,1973,02,19.4,Y
IDCJAC0004,061078,1973,03,16.3,Y
IDCJAC0004,061078,1973,04,12.9,Y
IDCJAC0004,061078,1973,05,8.4,Y
IDCJAC0004,061078,1973,06,7.5,Y
IDCJAC0004,061078,1973,07,9.0,Y
IDCJAC0004,061078,1973,08,7.2,Y
IDCJAC0004,061078,1973,09,8.9,Y
IDCJAC0004,061078,1973,10,13.7,Y
IDCJAC0004,061078,1973,11,15.0,Y
IDCJAC0004,061078,1973,12,17.8,Y
IDCJAC0004,061078,1974,01,18.9,Y
IDCJAC0004,061078,1974,02,17.2,Y
IDCJAC0004,061078,1974,03,15.9,Y
IDCJAC0004,061078,1974,04,15.2,Y
IDCJAC0004,061078,1974,05,10.9,Y
IDCJAC0004,061078,1974,06,8.1,Y
IDCJAC0004,061078,1974,07,6.4,Y
IDCJAC0004,061078,1974,08,6.1,Y
IDCJAC0004,061078,1974,09,8.0,Y
IDCJAC0004,061078,1974,10,10.7,Y
IDCJAC0004,061078,1974,11,13.1,Y
IDCJAC0004,061078,1974,12,15.0,Y
IDCJAC0004,061078,1975,01,16.7,Y
IDCJAC0004,061078,1975,02,16.4,Y
IDCJAC0004,061078,1975,03,15.7,Y
IDCJAC0004,061078,1975,04,12.1,Y
IDCJAC0004,061078,1975,05,9.0,Y
IDCJAC0004,061078,1975,06,6.8,Y
IDCJAC0004,061078,1975,07,5.3,Y
IDCJAC0004,061078,1975,08,7.6,Y
IDCJAC0004,061078,1975,09,10.5,Y
IDCJAC0004,061078,1975,10,12.1,Y
IDCJAC0004,061078,1975,11,14.8,Y
IDCJAC0004,061078,1975,12,17.8,Y
IDCJAC0004,061078,1976,01,17.4,Y
IDCJAC0004,061078,1976,02,18.5,Y
IDCJAC0004,061078,1976,03,17.0,Y
IDCJAC0004,061078,1976,04,12.9,Y
IDCJAC0004,061078,1976,05,8.2,Y
IDCJAC0004,061078,1976,06,7.5,Y
IDCJAC0004,061078,1976,07,6.1,Y
IDCJAC0004,061078,1976,08,5.9,Y
IDCJAC0004,061078,1976,09,7.8,Y
IDCJAC0004,061078,1976,10,11.1,Y
IDCJAC0004,061078,1976,11,13.5,Y
IDCJAC0004,061078,1976,12,15.9,Y
IDCJAC0004,061078,1977,01,17.6,Y
IDCJAC0004,061078,1977,02,18.9,Y
IDCJAC0004,061078,1977,03,16.5,Y
IDCJAC0004,061078,1977,04,12.5,Y
IDCJAC0004,061078,1977,05,9.7,Y
IDCJAC0004,061078,1977,06,7.6,Y
IDCJAC0004,061078,1977,07,6.0,Y
IDCJAC0004,061078,1977,08,4.5,Y
IDCJAC0004,061078,1977,09,8.8,Y
IDCJAC0004,061078,1977,10,11.5,Y
IDCJAC0004,061078,1977,11,14.8,Y
IDCJAC0004,061078,1977,12,16.6,Y
IDCJAC0004,061078,1978,01,18.7,Y
IDCJAC0004,061078,1978,02,18.1,Y
IDCJAC0004,061078,1978,03,16.8,Y
IDCJAC0004,061078,1978,04,12.7,Y
IDCJAC0004,061078,1978,05,9.6,Y
IDCJAC0004,061078,1978,06,8.4,Y
IDCJAC0004,061078,1978,07,5.5,Y
IDCJAC0004,061078,1978,08,6.2,Y
IDCJAC0004,061078,1978,09,9.1,Y
IDCJAC0004,061078,1978,10,10.7,Y
IDCJAC0004,061078,1978,11,14.1,Y
IDCJAC0004,061078,1978,12,16.1,Y
IDCJAC0004,061078,1979,01,18.6,Y
IDCJAC0004,061078,1979,02,17.8,Y
IDCJAC0004,061078,1979,03,16.0,Y
IDCJAC0004,061078,1979,04,12.7,Y
IDCJAC0004,061078,1979,05,10.0,Y
IDCJAC0004,061078,1979,06,7.4,Y
IDCJAC0004,061078,1979,07,5.3,Y
IDCJAC0004,061078,1979,08,5.7,Y
IDCJAC0004,061078,1979,09,9.2,Y
IDCJAC0004,061078,1979,10,11.1,Y
IDCJAC0004,061078,1979,11,15.3,Y
IDCJAC0004,061078,1979,12,17.5,Y
IDCJAC0004,061078,1980,01,18.4,Y
IDCJAC0004,061078,1980,02,18.0,Y
IDCJAC0004,061078,1980,03,16.9,Y
IDCJAC0004,061078,1980,04,12.2,Y
IDCJAC0004,061078,1980,05,11.0,Y
IDCJAC0004,061078,1980,06,8.5,Y
IDCJAC0004,061078,1980,07,6.5,Y
IDCJAC0004,061078,1980,08,6.0,Y
IDCJAC0004,061078,1980,09,9.8,Y
IDCJAC0004,061078,1980,10,12.6,Y
IDCJAC0004,061078,1980,11,14.7,Y
IDCJAC0004,061078,1980,12,16.3,Y
IDCJAC0004,061078,1981,01,19.3,Y
IDCJAC0004,061078,1981,02,20.2,Y
IDCJAC0004,061078,1981,03,15.8,Y
IDCJAC0004,061078,1981,04,14.0,Y
IDCJAC0004,061078,1981,05,10.7,Y
IDCJAC0004,061078,1981,06,7.5,Y
IDCJAC0004,061078,1981,07,6.0,Y
IDCJAC0004,061078,1981,08,6.4,Y
IDCJAC0004,061078,1981,09,9.2,Y
IDCJAC0004,061078,1981,10,12.4,Y
IDCJAC0004,061078,1981,11,13.8,Y
IDCJAC0004,061078,1981,12,16.7,Y
IDCJAC0004,061078,1982,01,18.5,Y
IDCJAC0004,061078,1982,02,17.9,Y
IDCJAC0004,061078,1982,03,17.3,Y
IDCJAC0004,061078,1982,04,12.7,Y
IDCJAC0004,061078,1982,05,7.8,Y
IDCJAC0004,061078,1982,06,7.2,Y
IDCJAC0004,061078,1982,07,5.8,Y
IDCJAC0004,061078,1982,08,6.0,Y
IDCJAC0004,061078,1982,09,8.2,Y
IDCJAC0004,061078,1982,10,10.4,Y
IDCJAC0004,061078,1982,11,13.3,Y
IDCJAC0004,061078,1982,12,16.6,Y
IDCJAC0004,061078,1983,01,18.1,Y
IDCJAC0004,061078,1983,02,18.9,Y
IDCJAC0004,061078,1983,03,17.3,Y
IDCJAC0004,061078,1983,04,13.5,Y
IDCJAC0004,061078,1983,05,11.5,Y
IDCJAC0004,061078,1983,06,7.7,Y
IDCJAC0004,061078,1983,07,5.8,Y
IDCJAC0004,061078,1983,08,6.8,Y
IDCJAC0004,061078,1983,09,10.1,Y
IDCJAC0004,061078,1983,10,13.0,Y
