Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1966,03,108.1,Y
IDCJAC0001,061078,1966,04,182.2,Y
IDCJAC0001,061078,1966,05,73.4,Y
IDCJAC0001,061078,1966,06,87.2,Y
IDCJAC0001,061078,1966,07,17.2,Y
IDCJAC0001,061078,1966,08,103.5,Y
IDCJAC0001,061078,1966,09,25.0,Y
IDCJAC0001,061078,1966,10,50.3,Y
IDCJAC0001,061078,1966,11,70.1,Y
IDCJAC0001,061078,1966,12,118.8,Y
IDCJAC0001,061078,1967,01,76.8,Y
IDCJAC0001,061078,1967,02,187.8,Y
IDCJAC0001,061078,1967,03,153.9,Y
IDCJAC0001,061078,1967,04,112.4,Y
IDCJAC0001,061078,1967,05,206.9,Y
IDCJAC0001,061078,1967,06,275.3,Y
IDCJAC0001,061078,1967,07,47.3,Y
IDCJAC0001,061078,1967,08,179.2,Y
IDCJAC0001,061078,1967,09,56.3,Y
IDCJAC0001,061078,1967,10,111.8,Y
IDCJAC0001,061078,1967,11,42.5,Y
IDCJAC0001,061078,1967,12,50.3,Y
IDCJAC0001,061078,1968,01,250.1,Y
IDCJAC0001,061078,1968,02,67.1,Y
IDCJAC0001,061078,1968,03,131.3,Y
IDCJAC0001,061078,1968,04,20.1,Y
IDCJAC0001,061078,1968,05,115.2,Y
IDCJAC0001,061078,1968,06,44.4,Y
IDCJAC0001,061078,1968,07,103.5,Y
IDCJAC0001,061078,1968,08,92.3,Y
IDCJAC0001,061078,1968,09,19.2,Y
IDCJAC0001,061078,1968,10,1.0,Y
IDCJAC0001,061078,1968,11,21.5,Y
IDCJAC0001,061078,1968,12,90.6,Y
IDCJAC0001,061078,1969,01,12.8,Y
IDCJAC0001,061078,1969,02,138.1,Y
IDCJAC0001,061078,1969,03,78.5,Y
IDCJAC0001,061078,1969,04,55.0,Y
IDCJAC0001,061078,1969,05,82.7,Y
IDCJAC0001,061078,1969,06,148.6,Y
IDCJAC0001,061078,1969,07,38.2,Y
IDCJAC0001,061078,1969,08,126.5,Y
IDCJAC0001,061078,1969,09,79.9,Y
IDCJAC0001,061078,1969,10,116.2,Y
IDCJAC0001,061078,1969,11,181.5,Y
IDCJAC0001,061078,1969,12,62.3,Y
IDCJAC0001,061078,1970,01,128.6,Y
IDCJAC0001,061078,1970,02,27.6,Y
IDCJAC0001,061078,1970,03,126.9,Y
IDCJAC0001,061078,1970,04,42.7,Y
IDCJAC0001,061078,1970,05,15.5,Y
IDCJAC0001,061078,1970,06,24.7,Y
IDCJAC0001,061078,1970,07,0.0,Y
IDCJAC0001,061078,1970,08,27.2,Y
IDCJAC0001,061078,1970,09,155.1,Y
IDCJAC0001,061078,1970,10,59.8,Y
IDCJAC0001,061078,1970,11,85.7,Y
IDCJAC0001,061078,1970,12,231.3,Y
IDCJAC0001,061078,1971,01,242.2,Y
IDCJAC0001,061078,1971,02,170.6,Y
IDCJAC0001,061078,1971,03,74.2,Y
IDCJAC0001,061078,1971,04,64.0,Y
IDCJAC0001,061078,1971,05,149.1,Y
IDCJAC0001,061078,1971,06,143.4,Y
IDCJAC0001,061078,1971,07,29.3,Y
IDCJAC0001,061078,1971,08,32.1,Y
IDCJAC0001,061078,1971,09,16.5,Y
IDCJAC0001,061078,1971,10,2.8,Y
IDCJAC0001,061078,1971,11,65.9,Y
IDCJAC0001,061078,1971,12,238.0,Y
IDCJAC0001,061078,1972,01,294.6,Y
IDCJAC0001,061078,1972,02,28.2,Y
IDCJAC0001,061078,1972,03,172.2,Y
IDCJAC0001,061078,1972,04,131.7,Y
IDCJAC0001,061078,1972,05,85.1,Y
IDCJAC0001,061078,1972,06,109.5,Y
IDCJAC0001,061078,1972,07,17.5,Y
IDCJAC0001,061078,1972,08,80.2,Y
IDCJAC0001,061078,1972,09,21.9,Y
IDCJAC0001,061078,1972,10,130.9,Y
IDCJAC0001,061078,1972,11,148.1,Y
IDCJAC0001,061078,1972,12,44.5,Y
IDCJAC0001,061078,1973,01,88.9,Y
IDCJAC0001,061078,1973,02,160.0,Y
IDCJAC0001,061078,1973,03,31.5,Y
IDCJAC0001,061078,1973,04,15.2,Y
IDCJAC0001,061078,1973,05,18.3,Y
IDCJAC0001,061078,1973,06,35.7,Y
IDCJAC0001,061078,1973,07,91.2,Y
IDCJAC0001,061078,1973,08,48.1,Y
IDCJAC0001,061078,1973,09,15.3,Y
IDCJAC0001,061078,1973,10,163.0,Y
IDCJAC0001,061078,1973,11,136.1,Y
IDCJAC0001,061078,1973,12,72.6,Y
IDCJAC0001,061078,1974,01,197.4,Y
IDCJAC0001,061078,1974,02,64.1,Y
IDCJAC0001,061078,1974,03,161.0,Y
IDCJAC0001,061078,1974,04,210.7,Y
IDCJAC0001,061078,1974,05,188.6,Y
IDCJAC0001,061078,1974,06,224.6,Y
IDCJAC0001,061078,1974,07,27.4,Y
IDCJAC0001,061078,1974,08,87.6,Y
IDCJAC0001,061078,1974,09,46.4,Y
IDCJAC0001,061078,1974,10,37.6,Y
IDCJAC0001,061078,1974,11,160.5,Y
IDCJAC0001,061078,1974,12,52.8,Y
IDCJAC0001,061078,1975,01,35.8,Y
IDCJAC0001,061078,1975,02,99.4,Y
IDCJAC0001,061078,1975,03,48.8,Y
IDCJAC0001,061078,1975,04,227.6,Y
IDCJAC0001,061078,1975,05,34.6,Y
IDCJAC0001,061078,1975,06,318.4,Y
IDCJAC0001,061078,1975,07,39.8,Y
IDCJAC0001,061078,1975,08,39.0,Y
